628;480;0.8;4.5;81.9;744;11242;21336;146802;4.6
1267;480;0.1;0.1;33.3;733;1095;1309;89853;8.3
4600;480;1.2;1.7;30.8;744;18602;20842;149601;6.7
4602;480;4.4;5.6;21.3;744;126511;134649;148842;20.0
4603;480;5.1;6.5;21.9;744;127404;136503;146264;18.0
4604;480;0.7;0.9;14.8;744;21807;23889;143551;5.0
4606;480;6.3;7.4;14.0;744;48579;52048;141761;10.0
4608;480;8.3;9.9;16.0;744;84257;92399;141832;37.7
4611;480;7.1;8.7;18.9;744;78707;84311;153869;30.7
4612;480;5.9;7.2;18.3;744;5613;6913;20948;11.5
4614;480;7.3;8.5;13.8;82;100108;107044;139951;18.9
4615;480;4.9;6.2;20.8;744;34973;38878;142329;12.5
4616;480;3.9;5.3;27.3;744;3190;4054;20400;-1
4617;480;2.6;3.2;19.2;743;14746;15976;134891;8.1
4629;480;1.5;7.8;80.9;744;15470;18495;55397;-1
4631;480;6.5;7.6;14.4;744;1055;1233;3822;-1
4632;480;2.5;2.9;14.6;744;12354;14221;50882;-1
4633;480;1.0;1.2;13.9;744;399;478;5989;-1
4634;480;1.5;2.3;35.2;744;4906;6103;51784;-1
4637;480;9.0;10.4;13.0;744;2198;2544;7295;-1
4640;480;2.6;3.1;17.7;735;15666;17442;135143;10.9
4645;480;0.6;0.8;20.8;735;7396;8462;125427;13.4
4647;480;0.6;0.9;28.6;742;4143;5114;114472;10.6
4652;480;2.4;2.8;15.1;744;16629;18131;115584;32.5
4656;480;6.8;7.9;14.6;744;4408;5032;16443;-1
4657;480;1.1;1.3;15.4;744;8057;8744;114650;10.1
4658;480;1.0;1.1;14.3;744;13846;15110;113482;17.1
4659;480;2.8;3.7;25.9;744;3719;4514;31137;-1
4660;480;5.5;7.2;22.9;744;8858;10158;30071;-1
4661;480;3.2;4.5;29.1;744;3548;4401;26610;-1
4662;480;9.6;10.8;11.6;744;15367;17237;36093;-1
4665;480;0.9;1.1;18.2;744;14681;16193;111678;7.8
4666;480;9.1;10.5;13.5;744;27997;30818;115156;18.1
4667;480;6.7;7.8;14.8;744;59708;66957;105932;22.6
4670;480;1.3;1.5;16.7;744;14869;16598;111392;9.1
4672;480;5.9;7.3;18.7;744;35331;39570;107336;22.5
4679;480;12.4;16.0;22.7;744;11661;13814;27021;-1
4680;480;8.3;9.6;13.2;719;14038;15935;37384;-1
4682;480;10.6;12.6;16.1;744;3785;4416;8633;-1
4691;480;3.5;14.4;75.3;744;38530;65191;122738;9.7
4694;480;5.1;6.2;16.8;744;8412;9756;58059;7.2
4703;480;2.2;3.3;33.3;744;16704;19519;124320;5.9
4707;480;9.0;10.5;14.5;744;54744;60952;116148;7.1
4708;480;0.9;1.1;18.2;744;20966;23712;111777;27.1
4709;480;6.2;7.1;13.1;744;34866;39425;117239;40.5
4710;480;2.0;4.0;50.0;12;6830;7503;112870;23.4
4712;480;1.7;2.0;16.1;375;5140;5669;111080;20.9
4729;480;8.8;11.4;22.9;743;39551;43521;98604;12.1
4752;480;11.0;12.9;14.5;744;58698;64148;97148;19.2
4753;480;2.4;3.1;22.9;744;30042;33612;98686;13.9
4775;480;9.5;11.2;15.3;744;20403;23226;59106;20.5
4777;480;5.4;6.6;18.6;744;11411;14456;61217;14.4
4803;480;1.6;1.9;18.3;742;2466;2833;37102;32.8
4861;480;1.0;1.2;16.7;742;3321;3711;55478;-1
